Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Thursday,04-08-2022,21:00:00,35,77,54,3,16,55,6,85
Thursday,04-08-2022,22:00:00,58,80,45,2,18,60,8,87
Thursday,04-08-2022,23:00:00,80,111,44,2,19,47,9,88
Friday,05-08-2022,00:00:00,129,121,57,2,,11,11,88
Friday,05-08-2022,01:00:00,52,101,48,2,,18,10,88
Friday,05-08-2022,02:00:00,34,78,46,2,,20,21,85
Friday,05-08-2022,03:00:00,35,53,56,3,,5,13,84
Friday,05-08-2022,04:00:00,18,36,57,4,,5,10,85
Friday,05-08-2022,05:00:00,28,68,60,4,,5,4,86
Friday,05-08-2022,06:00:00,53,86,55,4,,3,4,86
Friday,05-08-2022,07:00:00,65,84,41,3,,25,8,87
Friday,05-08-2022,08:00:00,114,104,42,3,,32,12,90
Friday,05-08-2022,09:00:00,72,113,46,2,,38,15,91
Friday,05-08-2022,10:00:00,50,107,52,2,,35,20,91
Friday,05-08-2022,11:00:00,35,80,64,3,6,38,24,92
Friday,05-08-2022,12:00:00,19,74,66,4,10,38,18,93
Friday,05-08-2022,13:00:00,59,98,57,4,8,26,13,93
Friday,05-08-2022,14:00:00,52,75,54,4,8,31,43,92
Friday,05-08-2022,15:00:00,86,100,47,4,12,33,40,91
Friday,05-08-2022,16:00:00,230,142,49,5,12,28,36,90
Friday,05-08-2022,17:00:00,62,83,46,3,14,22,24,90
Friday,05-08-2022,18:00:00,28,68,50,3,13,25,18,89
Friday,05-08-2022,19:00:00,35,62,67,3,10,32,9,86
Friday,05-08-2022,20:00:00,,,,,,,,84
Friday,05-08-2022,21:00:00,,55,67,5,9,37,4,82
Friday,05-08-2022,22:00:00,13,57,60,5,10,38,7,83
Friday,05-08-2022,23:00:00,,,,,,,,84
Saturday,06-08-2022,00:00:00,133,75,48,3,13,20,12,82
Saturday,06-08-2022,01:00:00,,,,,,,,81
Saturday,06-08-2022,02:00:00,,,,,,,,81
Saturday,06-08-2022,03:00:00,18,38,50,3,,,14,80
Saturday,06-08-2022,04:00:00,10,,57,4,8,10,9,83
Saturday,06-08-2022,05:00:00,,,,,,,,83
Saturday,06-08-2022,06:00:00,33,62,55,4,13,15,9,82
Saturday,06-08-2022,07:00:00,,,,,,,,82
Saturday,06-08-2022,08:00:00,110,67,43,3,15,30,11,80
Saturday,06-08-2022,09:00:00,28,75,44,2,72,33,12,78
Saturday,06-08-2022,10:00:00,,,,,,,,76
Saturday,06-08-2022,11:00:00,32,56,56,3,46,40,6,74
Saturday,06-08-2022,12:00:00,,,,,,,,
Saturday,06-08-2022,13:00:00,,,61,4,17,25,16,80
Saturday,06-08-2022,14:00:00,60,78,62,,29,30,24,77
Saturday,06-08-2022,15:00:00,70,113,60,4,33,38,26,74
Saturday,06-08-2022,16:00:00,,,,3,,,,
Saturday,06-08-2022,17:00:00,40,64,55,4,19,20,18,70
Saturday,06-08-2022,18:00:00,,,,,,,,
Saturday,06-08-2022,19:00:00,27,38,60,4,11,40,10,67
Saturday,06-08-2022,20:00:00,12,28,61,5,7,32,11,66
Saturday,06-08-2022,21:00:00,7,58,58,5,17,38,7,66
Saturday,06-08-2022,22:00:00,22,63,52,5,20,57,6,69
Saturday,06-08-2022,23:00:00,40,85,52,5,33,70,6,71
Sunday,07-08-2022,00:00:00,,,,,,,,
Sunday,07-08-2022,01:00:00,,,,,,,,
Sunday,07-08-2022,02:00:00,38,81,51,4,11,,,
Sunday,07-08-2022,03:00:00,,,,,,,,
Sunday,07-08-2022,04:00:00,27,45,51,4,,10,,
Sunday,07-08-2022,05:00:00,,,,,,,,
Sunday,07-08-2022,06:00:00,22,95,48,5,10,8,,
Sunday,07-08-2022,07:00:00,,,,,,,5,
Sunday,07-08-2022,08:00:00,117,113,46,4,29,35,,
Sunday,07-08-2022,09:00:00,45,70,49,4,15,35,25,
Sunday,07-08-2022,10:00:00,42,80,51,3,13,30,14,
Sunday,07-08-2022,11:00:00,20,52,55,3,10,22,15,
Sunday,07-08-2022,12:00:00,10,,53,5,2,20,54,54
Sunday,07-08-2022,13:00:00,5,41,52,4,12,28,24,69
Sunday,07-08-2022,14:00:00,93,61,48,4,14,33,,68
Sunday,07-08-2022,15:00:00,47,99,43,3,17,25,77,67
Sunday,07-08-2022,16:00:00,58,77,42,4,18,43,,68
Sunday,07-08-2022,17:00:00,58,62,48,4,16,43,,68
Sunday,07-08-2022,18:00:00,60,74,46,3,14,47,,68
Sunday,07-08-2022,19:00:00,50,78,49,4,12,52,,70
Sunday,07-08-2022,20:00:00,40,48,49,4,10,47,41,71
Sunday,07-08-2022,21:00:00,45,61,54,5,13,47,18,71
Sunday,07-08-2022,22:00:00,40,94,52,5,14,58,9,73
Sunday,07-08-2022,23:00:00,,,54,5,14,70,12,72
Sunday,07-08-2022,00:00:00,55,109,45,4,15,42,13,76
Monday,08-08-2022,01:00:00,33,108,42,4,11,27,,75
Monday,08-08-2022,02:00:00,38,104,50,4,,,8,72
Monday,08-08-2022,03:00:00,,,,,,,,69
Monday,08-08-2022,04:00:00,15,99,42,5,13,40,13,65
Monday,08-08-2022,05:00:00,38,111,43,5,15,37,13,62
Monday,08-08-2022,06:00:00,39,88,40,5,18,48,19,60
Monday,08-08-2022,07:00:00,123,122,38,4,21,47,14,58
Monday,08-08-2022,08:00:00,,,,,,,,58
Monday,08-08-2022,09:00:00,47,120,43,4,13,37,32,60
Monday,08-08-2022,10:00:00,,,,,,,,58
Monday,08-08-2022,11:00:00,,,55,4,8,25,21,60
Monday,08-08-2022,12:00:00,,18,56,5,12,32,19,60
Monday,08-08-2022,13:00:00,,,,,,,,62
Monday,08-08-2022,14:00:00,45,30,54,5,18,38,34,68
Monday,08-08-2022,15:00:00,,,,,,,,86
Monday,08-08-2022,16:00:00,15,29,49,4,19,30,35,86
Monday,08-08-2022,17:00:00,15,25,50,4,17,33,38,91
Monday,08-08-2022,18:00:00,20,47,55,3,15,43,29,102
Monday,08-08-2022,19:00:00,18,30,62,4,12,52,53,105
Monday,08-08-2022,20:00:00,17,68,60,5,12,63,70,82
Monday,08-08-2022,21:00:00,17,78,56,5,12,70,85,82
